WSA	FN	North	PD	Dist	Elev	Inc	lnPD	lnDist	lnInc
1.0	0	0.0	13.44	3.67	12.0	32.005	2.5982354	1.3001916	3.465892
1.0	0	0.0	7.588	3.199	14.0	32.005	2.026568	1.1628382	3.465892
1.0	0	0.0	9.72	3.671	15.0	32.005	2.2741857	1.3004642	3.465892
1.0	0	0.0	1.273	3.536	16.0	32.005	0.24137633	1.2629962	3.465892
1.0	0	0.0	0.452	0.599	28.0	32.005	-0.7940731	-0.5124937	3.465892
0.0	1	0.0	0.279	6.624	27.0	32.005	-1.2765435	1.8906994	3.465892
1.0	0	0.0	0.456	6.581	29.0	32.005	-0.78526247	1.8841867	3.465892
1.0	0	0.0	0.283	6.245	25.0	32.005	-1.2623084	1.8317811	3.465892
1.0	0	0.0	8.731	3.528	22.0	28.829	2.16688	1.2607312	3.3613818
1.0	0	0.0	12.305	3.377	20.0	28.829	2.5100057	1.2169877	3.3613818
1.0	0	0.0	16.127	3.278	24.0	28.829	2.780495	1.1872336	3.3613818
1.0	0	0.0	1.18	3.477	32.0	28.829	0.1655144	1.2461698	3.3613818
1.0	0	0.0	9.599	2.666	26.0	28.829	2.261659	0.9805792	3.3613818
1.0	0	0.0	19.51	3.381	25.0	28.829	2.9709272	1.2181715	3.3613818
1.0	0	0.0	0.585	3.557	29.0	28.829	-0.5361435	1.2689174	3.3613818
1.0	0	0.0	0.86	2.674	28.0	28.829	-0.15082288	0.98357546	3.3613818
1.0	0	0.0	1.472	1.36	22.0	28.829	0.386622	0.30748472	3.3613818
0.0	1	0.0	0.243	4.273	22.0	28.829	-1.4146938	1.452316	3.3613818
0.0	0	0.0	39.724	5.812	16.0	24.544	3.6819556	1.7599248	3.2004673
1.0	0	0.0	23.171	6.161	17.0	27.879	3.1429014	1.8182391	3.3278737
1.0	0	0.0	0.83	1.249	30.0	27.879	-0.1863296	0.22234319	3.3278737
	0	0.0	0.144	2.596	47.0	29.795	-1.937942	0.9539718	3.3943405
0.0	0	0.0	0.145	0.922	48.0	29.795	-1.9310216	-0.08121006	3.3943405
0.0	0	0.0	0.18	5.505	48.0	29.795	-1.7147983	1.7056568	3.3943405
0.0	0	0.0	0.255	1.955	45.0	29.795	-1.3664918	0.6703902	3.3943405
0.0	0	0.0	17.293	9.788	44.0	29.795	2.8503017	2.2811573	3.3943405
0.0	0	0.0	0.116	2.4	38.0	29.795	-2.154165	0.8754688	3.3943405
0.0	0	0.0	7.989	10.042	49.0	29.795	2.0780656	2.3067763	3.3943405
0.0	0	0.0	13.255	6.053	33.0	30.186	2.584375	1.800554	3.4073782
1.0	0	0.0	0.414	2.544	36.0	30.186	-0.8818893	0.93373764	3.4073782
0.0	0	0.0	0.375	5.418	40.0	30.186	-0.98082924	1.6897268	3.4073782
0.0	0	0.0	0.64	6.932	42.0	30.186	-0.44628713	1.9361484	3.4073782
0.0	0	0.0	0.184	6.279	42.0	30.186	-1.6928195	1.8372107	3.4073782
0.0	0	0.0	0.283	12.582	38.0	30.186	-1.2623084	2.532267	3.4073782
0.0	0	0.0	0.213	4.21	46.0	30.186	-1.5464631	1.4374627	3.4073782
1.0	0	0.0	11.952	6.184	11.0	35.433	2.4808986	1.8219653	3.5676436
1.0	0	0.0	8.852	4.228	19.0	35.433	2.1806436	1.4417291	3.5676436
1.0	0	0.0	1.471	4.253	24.0	35.433	0.3859424	1.4476246	3.5676436
1.0	0	0.0	2.001	5.405	26.0	35.433	0.693647	1.6873245	3.5676436
1.0	0	0.0	4.516	3.542	10.0	26.353	1.5076267	1.2646916	3.2715821
1.0	0	0.0	1.799	6.328	20.0	25.832	0.587231	1.8449843	3.251614
1.0	0	0.0	1.525	3.571	19.0	25.832	0.4219944	1.2728457	3.251614
1.0	0	0.0	0.34	3.143	19.0	25.832	-1.0788096	1.1451777	3.251614
1.0	0	0.0	1.278	4.363	24.0	25.832	0.24529636	1.4731599	3.251614
1.0	0	0.0	6.207	4.158	18.0	25.832	1.8256776	1.4250342	3.251614
1.0	0	0.0	2.196	3.943	18.0	25.832	0.78663754	1.3719419	3.251614
1.0	0	0.0	3.921	4.088	18.0	25.832	1.3663467	1.4080558	3.251614
1.0	0	0.0	1.098	4.708	9.0	25.832	0.09349039	1.5492632	3.251614
1.0	0	0.0	13.733	4.527	10.0	25.832	2.6198018	1.5100595	3.251614
1.0	0	0.0	1.334	4.956	18.0	25.832	0.28818193	1.6005989	3.251614
1.0	0	0.0	3.472	7.504	19.0	25.832	1.2447307	2.0154362	3.251614
1.0	0	0.0	0.361	1.059	18.0	25.033	-1.0188773	0.05732508	3.220195
0.0	1	0.0		0.973	21.0	28.87593		-0.027371207	3.3630085
0.0	0	0.0	0.389	1.548	24.0	25.033	-0.94417596	0.43696377	3.220195
1.0	0	0.0	0.408	3.163	24.0	26.693	-0.89648813	1.151521	3.2844014
0.0	0	0.0	12.445	10.247	23.0	26.693	2.521319	2.326985	3.2844014
1.0	1	0.0	0.2105171	3.713	22.0	28.87593	-1.5581884	1.3118402	3.3630085
1.0	0	0.0	0.484	2.958	32.0	29.449	-0.7256704	1.0845133	3.38266
1.0	0	0.0	10.665	4.91	29.0	29.449	2.3669674	1.5912739	3.38266
1.0	0	0.0	14.952	3.263	32.0	29.449	2.704845	1.182647	3.38266
1.0	0	0.0	15.207	5.301	34.0	29.449	2.7217557	1.6678956	3.38266
1.0	0	0.0	0.648	5.158	37.0	29.449	-0.4338646	1.640549	3.38266
1.0	0	0.0	0.352	3.896	39.0	29.449	-1.0441241	1.3599503	3.38266
1.0	0	0.0	0.603	2.835	32.0	29.449	-0.5058381	1.0420419	3.38266
0.0	0	0.0	12.051	9.993	36.0	27.935	2.4891477	2.301885	3.3298805
0.0	0	0.0	0.105	1.484	33.0	27.935	-2.253795	0.39474112	3.3298805
0.0	0	0.0	5.302	7.367	31.0	27.935	1.6680841	1.9970106	3.3298805
0.0	0	0.0	0.153	5.934	35.0	27.935	-1.8773174	1.7806985	3.3298805
0.0	0	0.0	0.168	1.689	37.0	27.935	-1.7837913	0.52413666	3.3298805
